sn,condition,idcode,gender,age,class,height,weight,father_origin,religion,sibling-f,sibling-m,father-job,mother-job,mother_edu,father_edu,healtha,healthb,healthc,healthd,healthe,sussex1a,sussex1b,sussex1c,sussex1d,sussex1e,sussex2a,sussex2b,sussex2c,sussex2d,sussex2e,sussex3a,sussex3b,sussex3c,sussex3d,sussex3e,sussex4a,sussex4b,sussex4c,sussex4d,sussex4e,sussex5a,sussex5b,sussex5c,sussex5d,sussex5e,sussex6a,sussex6b,sussex6c,sussex6d,sussex6e,sussex7a,sussex7b,sussex7c,sussex7d,sussex7e,sussex8a,sussex8b,sussex8c,sussex8d,sussex8e,sussex9a,sussex9b,sussex9c,sussex9d,sussex9e,sussex10a,sussex10b,sussex10c,sussex10d,sussex10e,attnchk1,sussex11a,sussex11b,sussex11c,sussex11d,sussex11e,sussex12a,sussex12b,sussex12c,sussex12d,sussex12e,sussex13a,sussex13b,sussex13c,sussex13d,sussex13e,sussex14a,sussex14b,sussex14c,sussex14d,sussex14e,sussex15a,sussex15b,sussex15c,sussex15d,sussex15e,sussex16a,sussex16b,sussex16c,sussex16d,sussex16e,sussex17a,sussex17b,sussex17c,sussex17d,sussex17e,sussex18a,sussex18b,sussex18c,sussex18d,sussex18e,sussex19a,sussex19b,sussex19c,sussex19d,sussex19e,sussex20a,sussex20b,sussex20c,sussex20d,sussex20e,attnchk2,ames1a,ames1b,ames1c,ames1d,ames1e,ames2a,ames2b,ames2c,ames2d,ames2e,ames3a,ames3b,ames3c,ames3d,ames3e,ames4a,ames4b,ames4c,ames4d,ames4e,attnchk3,ames5a,ames5b,ames5c,ames5d,ames5e,ames6a,ames6b,ames6c,ames6d,ames6e,ames7a,ames7b,ames7c,ames7d,ames7e,ames8a,ames8b,ames8c,ames8d,ames8e,symp1a,symp1b,symp1c,symp1d,symp1e,symp2a,symp2b,symp2c,symp2d,symp2e,symp3a,symp3b,symp3c,symp3d,symp3e,iri1a,iri1b,iri1c,iri1d,iri1e,iri2a,iri2b,iri2c,iri2d,iri2e,iri3a,iri3b,iri3c,iri3d,iri3e,iri4a,iri4b,iri4c,iri4d,iri4e,iri5a,iri5b,iri5c,iri5d,iri5e,sds1a,sds1b,sds2a,sds2b,sds3a,sds3b,sds4a,sds4b,sds5a,sds5b,sds6a,sds6b,iosa,iosb,iosc,iosd,iose,swiss1,swiss2,swiss3,swiss4,swiss5,swiss6,swiss7,swiss8,sps1,sps2,sps3,sps4,sps5,sps6,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,school
11,1,Gp076,1,16,1,165,51,24,1,2,3,Trader,trader,7,7,100,100,100,100,60,50,60,80,70,70,50,70,100,100,90,50,50,100,100,90,100,100,80,70,70,30,60,70,100,100,50,50,30,80,100,100,80,100,100,100,100,60,100,100,60,100,60,80,70,50,100,50,100,60,70,70,50,100,70,40,90,50,60,80,70,100,50,100,60,100,70,50,100,80,60,80,100,50,70,90,80,50,70,60,80,80,100,100,80,90,90,100,100,80,60,80,100,100,90,100,100,100,80,70,100,60,30,50,50,50,60,50,60,40,60,100,90,50,60,70,50,60,100,100,50,100,70,50,50,40,50,10,30,50,40,60,30,50,100,50,70,40,40,40,50,80,20,40,50,100,100,90,100,50,100,100,100,100,50,100,90,100,60,100,100,100,40,70,50,100,80,100,100,50,100,100,80,100,50,10,100,100,100,50,50,100,90,100,1,1,0,0,1,1,0,0,0,0,0,0,3,3,6,6,6,70,70,50,100,100,100,70,70,50,100,40,50,100,50,100,100,100,100,100,100,100,80,100,90,90,100,100,100,100,sch1
12,1,Gp078,1,15,1,161,50,24,1,4,5,Panter,Trader,1,3,60,100,100,NA,100,50,100,60,NA,60,40,100,50,NA,60,50,30,20,NA,30,40,30,50,NA,50,70,50,100,NA,70,30,50,50,NA,60,40,50,50,NA,50,60,50,50,NA,70,60,50,50,NA,50,50,60,60,NA,90,50,50,60,50,NA,60,50,40,50,NA,80,50,50,50,NA,90,60,30,30,NA,60,50,50,40,NA,20,60,50,70,NA,50,60,80,50,NA,90,60,20,0,NA,60,60,50,70,NA,60,50,50,50,NA,90,40,80,60,60,NA,70,40,50,50,NA,60,60,50,100,NA,70,80,50,100,NA,70,50,40,50,50,NA,70,50,50,60,NA,60,70,30,50,NA,60,60,60,100,NA,50,70,50,100,NA,60,60,50,100,NA,80,40,100,100,NA,70,60,50,100,NA,50,60,40,60,NA,70,50,50,60,NA,70,80,50,60,NA,80,80,50,70,NA,70,1,1,1,0,1,1,1,0,0,0,0,0,6,4,6,NA,5,50,50,30,40,30,40,60,40,30,40,50,50,30,40,30,40,60,30,60,60,50,40,50,40,50,40,40,30,40,sch1
13,1,Gp079,1,15,1,165,59,28,0,2,0,Business man,Trader,7,7,100,90,100,100,NA,100,70,60,80,NA,80,60,60,70,NA,60,60,60,60,NA,70,70,80,70,NA,100,60,70,60,NA,100,70,70,70,NA,100,60,70,60,NA,100,60,80,70,NA,80,70,70,70,NA,100,60,70,70,NA,70,80,60,60,80,NA,60,60,70,50,NA,100,70,80,80,NA,80,60,70,60,NA,60,60,70,70,NA,100,70,60,60,NA,100,60,70,90,NA,100,60,100,80,NA,100,60,90,90,NA,80,50,70,70,NA,30,100,60,60,60,NA,80,60,70,60,NA,80,70,70,60,NA,80,70,90,60,NA,50,50,60,80,80,NA,60,60,70,60,NA,70,60,40,60,NA,50,60,60,60,NA,100,60,70,70,NA,100,70,50,60,NA,100,60,100,80,NA,100,60,60,60,NA,80,60,50,50,NA,100,60,50,60,NA,100,50,70,70,NA,100,60,70,50,NA,1,1,0,0,1,1,1,1,0,0,0,0,2,3,5,2,NA,60,70,60,80,70,70,70,70,60,60,70,60,60,60,70,70,80,70,70,80,80,80,60,60,70,70,70,60,60,sch1
14,1,Gp114,0,15,1,150,39,10,0,1,1,Nurse,mechanic,7,7,80,90,100,100,100,100,100,90,80,90,100,100,80,90,90,90,100,80,100,90,100,100,80,70,100,100,90,80,80,80,100,90,50,90,90,90,100,80,100,100,90,100,70,100,80,90,90,80,100,100,100,90,70,90,100,80,90,90,80,70,100,100,90,80,90,90,100,90,80,100,100,100,90,50,100,100,100,90,80,90,100,80,100,70,80,100,90,100,70,100,100,90,90,80,80,100,100,90,80,100,100,80,100,80,80,90,90,90,90,70,90,90,100,90,80,90,90,100,90,70,90,100,90,100,80,90,100,100,80,90,60,90,100,70,100,70,90,50,100,100,80,80,50,100,90,60,100,50,100,100,70,90,100,100,90,70,100,100,100,100,70,100,100,90,100,80,80,90,100,90,70,80,100,90,90,70,90,50,100,100,80,100,90,90,100,70,90,50,1,1,1,1,1,1,1,0,0,0,1,1,4,6,5,5,5,90,100,90,100,100,90,100,90,90,90,90,80,80,50,100,50,90,90,90,90,80,90,90,90,90,90,90,50,50,sch1
15,1,Gp118,0,16,1,169,55,11,1,1,2,Trader,Trader,1,1,100,100,100,100,100,60,50,50,60,60,60,50,100,50,70,50,80,70,50,90,60,80,100,70,80,60,60,60,90,70,60,100,70,50,50,50,70,90,100,70,50,60,50,70,80,70,70,60,90,30,70,60,40,70,80,80,70,80,70,50,60,60,80,60,60,60,60,50,50,70,80,60,40,70,50,90,50,50,50,50,90,60,40,80,80,60,60,60,60,50,60,60,60,40,70,90,60,70,50,70,100,60,80,50,70,90,30,60,60,70,50,100,60,60,60,60,80,60,100,100,40,80,60,40,50,80,80,50,70,50,70,50,100,70,50,40,50,80,60,70,70,30,80,60,60,50,50,80,70,50,70,50,90,60,100,70,70,80,50,60,70,50,70,100,70,90,50,100,50,60,80,30,90,60,60,50,50,80,60,40,100,60,100,50,50,50,50,90,1,1,1,0,1,1,1,1,0,1,0,1,3,1,2,6,4,100,100,100,100,70,80,100,90,50,50,40,40,50,40,40,100,100,100,100,100,100,70,90,100,90,100,80,100,100,sch1
16,1,Gp124,1,14,1,165,48,25,1,3,NA,Business man,Trader,7,7,80,100,100,70,90,90,50,50,90,90,90,100,50,80,80,90,50,100,70,100,90,50,100,100,100,90,100,100,100,90,100,100,100,100,100,90,100,100,100,100,90,90,100,100,90,100,100,100,100,90,90,100,100,100,100,70,90,100,100,70,70,90,50,60,100,70,90,100,100,80,90,80,50,100,100,80,90,100,100,100,70,90,100,100,100,80,100,100,100,70,90,100,100,100,100,90,90,100,100,100,100,80,100,100,100,90,30,90,90,100,80,100,90,100,50,100,90,90,100,50,100,100,80,100,100,100,100,50,60,50,50,50,60,100,100,100,60,80,90,100,60,80,60,80,50,50,80,70,90,100,100,100,80,90,100,100,100,80,100,100,100,100,80,80,100,100,100,100,50,100,100,100,100,50,100,100,100,100,90,100,100,100,100,60,100,100,100,100,1,1,1,0,1,1,0,0,1,0,0,0,6,4,5,3,6,100,100,100,100,100,100,100,100,100,50,70,100,100,80,100,100,100,100,100,100,100,100,90,100,90,100,100,100,100,sch1
17,1,Gp130,1,15,1,171,64,1,0,NA,2,Furniture,Teacher,7,7,90,100,100,100,100,50,100,50,50,100,50,100,50,50,100,50,50,100,0,50,100,100,100,100,50,100,100,50,100,100,100,100,100,100,100,100,50,100,50,50,100,100,100,100,100,100,50,50,100,50,100,50,50,100,100,70,100,100,20,100,50,50,50,20,100,100,100,50,30,0,50,50,50,20,0,50,50,0,20,0,50,50,0,40,50,50,100,100,50,50,50,50,50,100,50,50,50,50,20,100,50,50,50,10,50,50,30,50,20,50,50,50,100,100,0,50,50,50,100,50,100,100,100,100,100,100,100,50,50,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,50,50,100,50,50,50,50,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,50,100,50,100,100,100,100,100,100,0,0,50,0,50,100,100,100,100,100,1,1,1,0,1,1,0,1,0,0,0,0,6,4,3,3,3,100,100,100,100,50,50,100,100,100,100,50,50,50,100,100,50,100,100,100,100,100,100,50,50,50,100,100,100,100,sch1
18,1,Gp132,1,15,1,152,45,29,1,2,1,Tailor,Trader,1,1,100,100,80,60,80,80,90,100,80,70,60,80,100,80,70,80,70,100,70,70,80,100,100,70,80,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,80,80,70,70,100,80,90,70,70,80,100,100,60,80,60,90,60,80,70,80,90,80,80,60,80,90,90,60,80,70,100,50,60,70,80,100,80,60,70,80,70,80,60,50,70,80,50,60,60,100,70,60,100,70,80,60,70,60,60,30,80,80,60,50,50,90,70,60,80,50,90,80,70,80,50,90,50,50,50,50,50,80,80,100,60,50,80,90,70,70,50,100,80,60,80,70,90,90,100,80,50,100,100,100,80,80,100,100,100,100,70,80,80,80,90,80,100,100,100,100,100,70,70,100,80,50,70,90,100,100,90,70,100,100,90,100,80,100,100,90,100,1,1,0,0,1,1,0,1,0,0,0,0,4,2,3,3,2,100,100,80,100,100,70,50,100,100,90,60,100,100,10,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,sch1
19,1,Gp134,0,15,1,158,39,31,1,1,1,His late,trading,7,7,100,100,100,NA,100,100,100,60,NA,100,100,100,50,NA,100,90,100,50,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,70,50,100,100,NA,100,100,100,100,NA,100,80,100,100,NA,100,80,100,100,NA,100,60,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,70,100,100,NA,100,100,100,100,NA,100,70,100,100,NA,100,30,100,100,100,NA,100,80,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,50,50,100,100,NA,100,50,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,90,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,1,1,0,1,1,1,0,1,0,0,0,1,3,6,6,NA,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch1
20,1,Gp167,0,15,1,159,57,25,1,1,3,Office work,Trader,7,7,100,100,100,100,100,50,30,30,0,10,0,20,40,20,10,0,50,30,0,10,50,20,40,0,20,100,50,20,20,10,100,20,20,0,20,100,0,40,0,20,50,20,40,30,0,100,90,40,50,10,100,60,20,20,30,70,100,30,50,20,30,50,30,20,20,20,50,0,30,20,20,100,30,20,0,10,100,0,40,0,10,50,10,20,0,0,100,100,30,40,50,50,0,70,50,10,100,100,40,60,10,100,20,30,30,50,30,50,30,20,50,20,50,20,50,10,10,100,100,50,0,0,100,10,40,0,0,50,50,50,20,30,10,100,40,50,0,10,50,0,40,0,40,50,50,50,0,10,100,20,40,30,30,100,10,90,20,20,100,40,50,10,20,100,20,50,30,40,100,50,40,30,30,100,40,40,60,50,100,100,90,90,40,100,100,30,0,20,1,1,0,0,1,1,0,0,0,1,0,1,5,2,4,2,2,40,40,50,40,50,50,40,30,30,40,50,70,60,50,30,50,70,80,70,30,10,20,20,40,30,40,50,50,40,sch1
