sn,condition,idcode,gender,age,class,height,weight,father_origin,religion,sibling-f,sibling-m,father-job,mother-job,mother_edu,father_edu,healtha,healthb,healthc,healthd,healthe,sussex1a,sussex1b,sussex1c,sussex1d,sussex1e,sussex2a,sussex2b,sussex2c,sussex2d,sussex2e,sussex3a,sussex3b,sussex3c,sussex3d,sussex3e,sussex4a,sussex4b,sussex4c,sussex4d,sussex4e,sussex5a,sussex5b,sussex5c,sussex5d,sussex5e,sussex6a,sussex6b,sussex6c,sussex6d,sussex6e,sussex7a,sussex7b,sussex7c,sussex7d,sussex7e,sussex8a,sussex8b,sussex8c,sussex8d,sussex8e,sussex9a,sussex9b,sussex9c,sussex9d,sussex9e,sussex10a,sussex10b,sussex10c,sussex10d,sussex10e,attnchk1,sussex11a,sussex11b,sussex11c,sussex11d,sussex11e,sussex12a,sussex12b,sussex12c,sussex12d,sussex12e,sussex13a,sussex13b,sussex13c,sussex13d,sussex13e,sussex14a,sussex14b,sussex14c,sussex14d,sussex14e,sussex15a,sussex15b,sussex15c,sussex15d,sussex15e,sussex16a,sussex16b,sussex16c,sussex16d,sussex16e,sussex17a,sussex17b,sussex17c,sussex17d,sussex17e,sussex18a,sussex18b,sussex18c,sussex18d,sussex18e,sussex19a,sussex19b,sussex19c,sussex19d,sussex19e,sussex20a,sussex20b,sussex20c,sussex20d,sussex20e,attnchk2,ames1a,ames1b,ames1c,ames1d,ames1e,ames2a,ames2b,ames2c,ames2d,ames2e,ames3a,ames3b,ames3c,ames3d,ames3e,ames4a,ames4b,ames4c,ames4d,ames4e,attnchk3,ames5a,ames5b,ames5c,ames5d,ames5e,ames6a,ames6b,ames6c,ames6d,ames6e,ames7a,ames7b,ames7c,ames7d,ames7e,ames8a,ames8b,ames8c,ames8d,ames8e,symp1a,symp1b,symp1c,symp1d,symp1e,symp2a,symp2b,symp2c,symp2d,symp2e,symp3a,symp3b,symp3c,symp3d,symp3e,iri1a,iri1b,iri1c,iri1d,iri1e,iri2a,iri2b,iri2c,iri2d,iri2e,iri3a,iri3b,iri3c,iri3d,iri3e,iri4a,iri4b,iri4c,iri4d,iri4e,iri5a,iri5b,iri5c,iri5d,iri5e,sds1a,sds1b,sds2a,sds2b,sds3a,sds3b,sds4a,sds4b,sds5a,sds5b,sds6a,sds6b,iosa,iosb,iosc,iosd,iose,swiss1,swiss2,swiss3,swiss4,swiss5,swiss6,swiss7,swiss8,sps1,sps2,sps3,sps4,sps5,sps6,emb1,emb2,emb3,emb4,emb5,emb6,emb7,emb8,emb9,emb10,emb11,emb12,emb13,emb14,emb15,school
102,2,Gp190,0,17,1,190,54,30,0,1,2,Tarde,Trade,8,1,100,100,100,60,100,100,100,100,60,100,100,50,70,70,100,50,100,60,50,100,90,50,100,60,100,90,50,100,60,100,100,90,60,60,100,20,50,50,70,100,100,60,60,60,60,10,100,100,60,100,60,100,70,70,70,70,90,100,100,60,60,50,100,60,70,100,90,70,60,70,70,50,100,70,60,70,10,100,60,70,100,100,100,100,70,70,90,60,100,70,70,50,100,100,50,70,100,100,100,70,100,100,100,100,60,100,30,50,100,100,70,100,50,80,100,70,100,50,100,60,80,70,20,100,100,80,100,50,10,100,70,70,70,10,70,100,80,100,10,100,100,100,100,10,100,60,100,100,50,100,100,70,80,50,100,100,70,100,50,100,100,60,100,100,100,100,80,50,50,80,60,70,70,20,100,70,90,70,50,100,50,70,90,50,60,60,70,70,1,1,0,0,1,1,0,1,0,0,0,0,5,5,4,3,6,40,40,100,100,100,100,40,60,80,60,70,50,50,50,50,50,50,50,100,70,50,40,50,50,50,50,50,60,50,sch1
103,2,Gp196,0,15,1,167,47,24,1,2,2,My father is an mechanical engineer,She an hairdresser,7,7,100,100,100,100,NA,100,100,100,80,NA,100,100,100,50,NA,20,100,100,60,NA,30,100,100,100,NA,50,100,100,50,NA,60,100,100,80,NA,100,100,100,60,NA,30,100,100,80,NA,40,100,100,100,NA,100,100,100,100,NA,50,90,100,100,60,NA,60,100,100,60,NA,60,100,100,70,NA,70,100,100,70,NA,100,100,100,70,NA,50,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,60,NA,100,100,100,90,NA,30,30,100,100,50,NA,50,100,100,90,NA,40,100,100,100,NA,40,100,100,60,NA,50,30,100,100,100,NA,30,100,100,60,NA,60,100,100,70,NA,50,100,100,50,NA,70,100,100,40,NA,70,100,100,100,NA,50,100,100,100,NA,100,100,100,100,NA,40,100,100,50,NA,40,100,100,70,NA,100,100,100,50,NA,100,100,100,50,NA,1,1,0,1,1,1,0,1,1,1,0,0,5,6,6,6,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch1
104,2,GP019,1,17,0,168,53,3,0,1,1,NA,Cleaner,7,7,100,100,100,100,100,50,60,70,60,60,50,60,70,60,70,40,70,50,60,70,60,70,50,60,70,50,70,50,60,90,70,60,50,60,80,60,60,70,50,70,50,90,60,60,80,90,70,60,70,70,90,90,60,40,80,70,70,70,50,50,70,30,90,70,60,80,60,70,70,60,80,50,70,50,70,60,60,60,80,60,70,50,70,40,60,70,50,70,50,60,70,80,80,60,60,50,80,70,50,80,70,80,70,70,60,50,30,30,70,40,70,80,50,50,30,70,60,40,60,40,50,100,40,70,30,60,80,50,20,40,60,70,80,40,30,50,70,70,40,60,60,50,70,70,70,40,40,90,40,60,60,50,80,40,90,50,60,70,50,70,50,60,60,40,70,70,50,80,50,80,40,40,60,60,40,50,50,80,30,20,30,60,80,50,50,40,40,80,1,1,0,0,1,1,0,0,0,0,0,0,4,4,2,2,2,70,70,70,80,70,80,80,70,60,60,70,50,60,60,40,60,60,50,70,60,60,60,50,60,80,60,70,60,60,sch2
105,2,Gp020,1,17,0,153,48,3,0,2,3,Driver,trader,1,3,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,100,100,100,100,80,100,100,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,60,100,100,100,100,100,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,60,100,100,100,100,70,100,100,100,100,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,100,100,40,100,50,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,0,0,1,1,1,0,0,0,0,0,6,6,6,6,6,100,100,100,100,100,100,100,100,100,100,60,70,100,50,100,100,90,90,70,80,100,100,100,100,100,100,100,100,100,sch2
106,2,Gp021,1,18,0,166,60,3,0,1,1,Driver,cook,1,1,50,70,100,NA,NA,40,60,70,NA,NA,50,50,100,NA,NA,100,60,80,NA,NA,50,60,100,NA,NA,100,100,100,NA,NA,50,100,100,NA,NA,100,100,70,NA,NA,50,100,100,NA,NA,50,100,100,NA,NA,100,100,100,NA,NA,70,100,100,100,NA,NA,50,70,100,NA,NA,50,60,80,NA,NA,100,50,100,NA,NA,50,60,60,NA,NA,50,70,80,NA,NA,100,100,100,NA,NA,50,60,100,NA,NA,50,100,100,NA,NA,50,100,100,NA,NA,30,50,100,80,NA,NA,50,100,70,NA,NA,100,70,70,NA,NA,100,60,80,NA,NA,50,50,60,70,NA,NA,50,100,100,NA,NA,50,80,100,NA,NA,100,60,100,NA,NA,100,50,80,NA,NA,100,100,100,NA,NA,50,60,80,NA,NA,100,100,100,NA,NA,100,50,100,NA,NA,50,50,100,NA,NA,50,70,100,NA,NA,50,100,100,NA,NA,1,1,0,0,1,1,0,1,0,0,0,1,5,5,5,NA,NA,100,100,100,70,70,80,70,70,60,60,100,50,60,70,80,80,90,100,90,90,80,80,70,70,80,90,60,70,60,sch2
107,2,Gp023,1,18,0,168,61,30,0,1,2,T,trader,1,1,100,50,70,50,60,100,40,50,50,40,100,60,80,40,50,100,40,40,80,40,100,60,50,60,60,100,70,40,70,40,100,50,70,50,60,50,60,60,40,70,100,60,50,90,50,100,60,50,40,50,100,100,30,50,50,100,100,70,40,50,60,50,50,40,70,60,100,50,70,50,50,100,50,50,40,40,100,50,50,30,60,100,50,20,80,80,60,60,30,50,70,80,50,60,50,70,100,30,40,50,70,100,60,70,50,60,100,100,50,60,50,40,100,40,50,50,50,100,60,30,40,80,100,40,50,30,50,100,100,50,60,40,50,60,30,50,60,50,100,40,60,50,30,100,50,80,50,50,100,60,40,80,70,100,50,50,20,90,100,70,20,70,50,100,60,40,60,50,100,30,60,40,50,60,40,40,70,70,100,60,30,40,30,100,70,70,30,40,1,1,0,0,1,1,1,1,1,0,1,0,2,5,2,4,1,50,50,30,50,50,50,60,60,60,70,70,60,70,60,60,70,50,40,60,60,60,60,50,50,60,70,70,80,80,sch2
108,2,Gp028,1,18,0,157,62,28,1,1,2,Alfa,trader,7,7,100,100,NA,50,100,100,100,NA,100,50,100,100,NA,100,50,100,90,NA,100,50,100,100,NA,100,60,100,100,NA,100,50,100,100,NA,100,60,100,100,NA,100,50,100,100,NA,100,50,100,100,NA,100,50,100,100,NA,100,60,70,100,90,NA,100,50,100,100,NA,100,60,100,100,NA,100,50,100,100,NA,100,60,100,100,NA,100,50,100,100,NA,100,60,100,100,NA,100,50,100,100,NA,50,50,100,100,NA,100,50,100,50,NA,100,50,30,50,90,NA,50,50,50,100,NA,100,50,100,100,NA,100,50,100,100,NA,100,60,50,100,100,NA,100,50,100,100,NA,100,50,100,60,NA,100,50,100,80,NA,100,50,100,90,NA,100,100,100,100,NA,100,100,100,90,NA,100,100,100,80,NA,100,50,100,90,NA,100,50,100,70,NA,50,60,100,100,NA,100,100,100,90,NA,100,60,1,1,0,0,1,1,0,0,1,0,0,0,6,6,NA,1,4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,90,100,70,50,100,60,90,80,100,sch2
109,2,Gp032,1,18,0,180,58,31,0,2,1,Machine,trader,1,1,100,100,NA,NA,100,100,70,NA,NA,50,100,50,NA,NA,80,100,50,NA,NA,90,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,70,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,100,80,NA,NA,100,100,100,NA,NA,100,100,90,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,30,100,100,NA,NA,80,100,80,NA,NA,80,100,80,NA,NA,60,100,90,NA,NA,60,50,100,90,NA,NA,40,100,70,NA,NA,60,100,80,NA,NA,100,100,100,NA,NA,70,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,100,50,NA,NA,60,100,90,NA,NA,100,100,100,NA,NA,100,100,100,NA,NA,100,1,1,0,0,1,1,0,0,0,0,0,0,6,6,NA,NA,6,70,90,100,100,100,100,100,100,100,70,90,100,90,100,100,100,90,90,50,100,100,100,100,100,100,100,80,100,70,sch2
110,2,Gp039,1,21,1,NA,NA,0,0,1,2,Mechanics,Trader,7,7,70,100,NA,100,50,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,70,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,30,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,50,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,80,100,100,NA,100,80,100,100,NA,100,100,1,1,0,0,1,1,1,1,0,0,1,0,5,5,NA,6,6,100,100,100,100,100,100,100,100,90,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch2
111,2,Gp042,1,18,1,165,51,15,0,0,1,Transporting container,Catering,1,1,90,100,100,100,90,60,90,90,80,100,90,70,60,40,100,80,70,90,70,100,70,50,60,70,100,70,80,90,90,100,90,100,100,100,100,80,90,50,60,100,90,100,100,100,100,100,90,100,100,100,100,100,80,90,100,70,90,90,100,100,90,70,80,80,40,100,100,100,100,100,100,90,80,100,100,70,70,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,80,80,100,100,100,30,80,80,100,70,90,80,80,100,60,80,70,80,70,70,80,100,70,100,70,80,50,10,70,30,10,20,50,90,40,50,100,30,80,20,10,20,90,80,80,100,50,80,70,70,100,100,50,80,90,100,70,70,80,100,100,90,100,80,90,100,80,100,80,80,60,80,50,90,90,50,50,80,70,70,20,80,60,80,100,30,70,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,2,100,100,100,100,100,90,100,100,90,70,100,80,70,100,100,80,70,70,60,50,50,50,50,60,70,50,60,60,80,sch2
112,2,Gp043,1,16,1,NA,NA,31,0,1,2,Engineer,Cateral,1,1,100,100,NA,100,100,100,100,NA,80,100,100,100,NA,100,100,60,100,NA,100,80,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,70,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,90,100,100,100,NA,70,100,100,100,NA,100,80,100,100,NA,100,100,100,100,NA,70,100,100,100,NA,100,100,100,100,NA,80,100,30,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,90,100,100,100,NA,100,100,50,100,100,NA,70,50,100,100,NA,70,60,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,80,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,90,100,100,80,NA,100,100,100,100,NA,90,100,100,90,NA,100,90,1,1,0,0,1,1,0,0,0,0,0,0,0,3,NA,6,6,80,80,100,100,100,90,90,100,100,80,90,100,100,90,100,100,100,100,100,100,100,90,90,100,100,100,100,100,100,sch2
113,2,Gp045,1,19,1,179,85,31,1,3,1,Engineer,Trader,1,1,100,100,NA,100,60,50,100,NA,60,60,100,100,NA,50,50,70,100,NA,60,60,60,100,NA,100,70,50,100,NA,100,70,50,100,NA,100,70,100,100,NA,60,90,100,100,NA,100,70,50,100,NA,80,50,100,100,NA,100,50,50,60,100,NA,100,80,50,100,NA,100,70,100,100,NA,60,60,50,100,NA,50,50,100,100,NA,90,70,100,100,NA,40,60,60,100,NA,70,70,100,100,NA,30,70,50,100,NA,60,100,100,100,NA,100,70,100,100,100,NA,100,70,100,100,NA,80,60,100,100,NA,90,90,50,100,NA,100,70,50,100,100,NA,90,70,100,100,NA,40,90,100,100,NA,40,80,100,100,NA,100,90,100,100,NA,100,50,100,100,NA,100,70,100,100,NA,100,50,100,100,NA,100,50,100,100,NA,80,90,60,100,NA,90,60,100,100,NA,70,70,100,100,NA,100,70,1,1,0,0,1,0,0,1,0,0,0,0,6,6,NA,6,6,100,100,100,100,100,100,100,100,100,100,70,100,100,100,70,100,100,100,100,100,100,100,100,50,60,100,100,100,100,sch2
114,2,Gp047,1,20,1,163,47,28,0,1,5,Furniture,fashion designer,1,1,100,100,NA,100,100,100,50,NA,100,60,70,70,NA,70,100,50,50,NA,60,60,100,70,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,70,100,50,NA,100,80,100,90,NA,100,80,100,100,NA,100,100,100,100,NA,100,100,100,50,NA,100,50,80,100,NA,100,50,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,30,100,70,NA,100,100,70,60,NA,100,100,100,100,NA,100,60,100,60,NA,100,100,50,50,100,NA,20,0,100,60,NA,100,50,100,100,NA,100,70,100,100,NA,100,60,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,70,NA,0,60,100,50,NA,0,100,100,100,NA,0,100,1,1,0,0,1,1,0,0,1,0,0,0,6,6,NA,6,2,80,100,100,100,100,100,80,100,70,80,70,60,80,70,60,80,50,80,100,100,100,100,100,100,100,100,100,60,0,sch2
115,2,Gp058,1,16,1,167,56,3,0,3,2,Gardener,Chef,3,7,50,50,50,90,NA,100,100,100,70,NA,100,100,80,70,NA,100,100,100,80,NA,100,100,50,70,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,60,80,NA,100,100,100,80,NA,70,100,100,80,90,NA,90,80,70,50,NA,90,100,80,90,NA,100,90,100,100,NA,50,100,50,70,NA,100,100,60,80,NA,100,100,90,100,NA,100,90,60,80,NA,80,100,50,90,NA,100,100,70,90,NA,30,100,100,80,80,NA,50,90,50,80,NA,100,100,100,100,NA,100,100,80,80,NA,50,10,50,50,50,NA,50,50,20,50,NA,50,50,30,80,NA,50,40,40,50,NA,100,100,50,80,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,70,70,NA,60,90,100,80,NA,60,60,50,80,NA,80,50,100,100,NA,100,100,100,100,NA,1,1,1,0,1,1,0,0,0,0,0,0,6,6,3,5,NA,100,50,90,70,100,100,70,100,60,70,60,50,50,60,90,100,90,100,100,100,100,100,100,100,100,100,100,90,100,sch2
116,2,Gp067,0,17,1,177,55,17,0,1,1,Realtor,Realtor,7,8,50,70,80,NA,50,100,100,80,NA,100,100,70,100,NA,60,100,60,100,NA,90,80,100,100,NA,70,100,100,90,NA,70,100,100,100,NA,100,100,90,100,NA,100,100,80,100,NA,100,100,100,100,NA,100,100,70,100,NA,80,70,100,100,90,NA,80,100,80,100,NA,70,70,100,80,NA,80,80,80,70,NA,100,100,100,80,NA,100,100,90,100,NA,50,50,90,80,NA,70,100,50,80,NA,90,100,100,90,NA,70,60,100,100,NA,70,30,100,80,100,NA,60,100,70,90,NA,90,100,90,100,NA,100,100,90,100,NA,90,50,30,90,90,NA,60,100,100,50,NA,70,80,80,70,NA,70,70,100,90,NA,70,100,100,80,NA,90,100,100,100,NA,80,70,100,100,NA,80,100,80,100,NA,100,70,100,70,NA,60,80,90,100,NA,80,100,80,90,NA,100,90,100,70,NA,60,1,1,1,1,1,1,1,1,0,0,0,0,3,2,5,NA,4,70,100,100,100,100,100,100,80,100,60,80,100,90,100,100,80,90,80,100,90,60,60,100,70,80,100,100,70,80,sch2
117,2,Gp075,1,15,1,175,61,9,0,2,2,Real Estate,wholesaler (egg),7,7,50,50,NA,100,100,50,50,NA,50,100,50,50,NA,70,100,50,50,NA,60,70,100,100,NA,60,60,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,100,70,100,100,NA,100,100,100,50,NA,70,70,100,100,NA,100,100,50,100,NA,100,100,50,50,NA,50,80,100,100,NA,70,70,50,100,NA,50,100,100,100,NA,50,100,50,50,NA,80,100,100,100,NA,50,100,30,50,50,NA,40,100,50,50,NA,70,100,100,100,NA,100,100,100,100,NA,100,100,50,50,80,NA,40,50,50,100,NA,40,100,50,50,NA,40,70,50,100,NA,70,100,100,100,NA,70,100,100,100,NA,100,100,100,100,NA,100,100,50,100,NA,100,100,50,100,NA,100,100,50,100,NA,100,100,100,70,NA,100,100,100,100,NA,100,100,1,1,1,1,1,1,1,1,0,0,1,1,4,4,NA,5,5,100,100,100,100,100,100,100,100,100,50,60,40,30,100,100,100,100,100,100,100,100,100,80,100,100,80,100,100,100,sch2
118,2,Gp076,1,17,1,162,54,4,0,2,2,Business man,NA,7,7,100,100,NA,100,100,100,50,NA,100,100,100,100,NA,100,50,80,100,NA,100,100,70,100,NA,100,100,50,100,NA,100,100,100,100,NA,100,100,100,100,NA,100,50,100,100,NA,100,100,90,100,NA,100,80,100,100,NA,100,100,70,100,100,NA,100,100,100,100,NA,60,50,50,100,NA,100,100,100,100,NA,100,50,50,80,NA,70,50,70,100,NA,100,80,100,100,NA,100,100,50,80,NA,100,50,100,100,NA,100,100,100,100,NA,100,100,30,100,100,NA,50,100,80,100,NA,50,100,100,100,NA,60,100,100,100,NA,60,100,50,50,30,NA,60,100,50,20,NA,40,30,50,70,NA,40,50,50,50,NA,50,100,100,100,NA,40,50,100,100,NA,100,100,100,100,NA,70,100,100,100,NA,100,100,50,100,NA,100,50,100,50,NA,100,100,100,100,NA,100,50,100,100,NA,100,100,1,1,0,0,1,1,0,0,0,0,0,0,6,6,NA,4,6,100,100,100,100,50,100,100,100,50,100,30,20,10,100,100,50,60,70,80,90,50,60,60,60,60,70,60,70,50,sch2
119,2,Gp083,0,16,1,165,48,23,0,0,4,Merchant,Teacher,7,7,70,90,NA,90,NA,50,60,NA,60,NA,70,60,NA,60,NA,50,70,NA,70,NA,60,60,NA,50,NA,60,70,NA,80,NA,70,80,NA,100,NA,60,70,NA,70,NA,70,70,NA,80,NA,70,70,NA,70,NA,80,80,NA,70,NA,70,70,80,NA,60,NA,60,60,NA,60,NA,60,70,NA,70,NA,60,70,NA,60,NA,70,70,NA,60,NA,70,80,NA,60,NA,70,80,NA,70,NA,60,70,NA,70,NA,70,80,NA,70,NA,70,70,NA,70,NA,30,50,60,NA,70,NA,40,60,NA,60,NA,60,60,NA,60,NA,60,60,NA,50,NA,50,10,40,NA,50,NA,40,60,NA,70,NA,50,70,NA,50,NA,60,50,NA,60,NA,80,70,NA,70,NA,80,70,NA,80,NA,70,60,NA,80,NA,80,70,NA,70,NA,80,70,NA,70,NA,50,70,NA,100,NA,70,60,NA,100,NA,70,70,NA,70,NA,1,1,0,0,1,1,0,0,0,0,0,0,6,6,NA,4,NA,70,70,70,70,70,70,80,50,70,80,80,60,60,90,80,70,70,70,80,70,80,70,60,70,80,70,80,70,60,sch2
120,2,Gp087,1,15,1,163,54,30,0,0,2,Business owner,Business owner,7,7,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,90,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,70,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,30,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,50,80,100,NA,70,NA,100,100,NA,90,NA,100,100,NA,80,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,90,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,100,100,NA,100,NA,1,1,0,0,1,1,1,0,0,0,0,0,5,6,NA,6,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch2
121,2,Gp100,0,17,0,100,45,3,0,0,0,Nin,Heair dresser,7,7,100,100,100,100,100,100,100,100,100,100,0,90,90,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,70,100,100,100,100,100,0,30,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30,90,80,100,100,100,100,90,100,100,100,100,70,100,100,100,90,90,100,100,100,50,10,100,90,100,100,40,100,100,100,100,60,90,100,50,100,0,100,100,100,100,100,100,100,100,100,40,70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,70,70,100,100,100,100,70,100,100,100,1,1,0,0,1,1,1,1,0,0,0,0,3,1,4,6,6,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,sch2
122,2,Gp102,0,14,0,152,41,9,0,5,1,Furniture,Tailor,7,7,100,50,70,100,100,10,10,80,30,40,10,30,40,30,40,30,60,40,30,70,20,60,50,30,50,100,70,100,100,100,100,100,100,100,100,100,50,80,100,100,80,50,100,60,100,60,30,60,60,40,100,60,40,60,40,70,40,60,50,30,40,20,50,40,30,40,50,60,70,60,50,30,40,40,60,40,100,50,60,40,40,30,50,50,50,60,50,40,60,60,50,50,60,40,70,50,50,50,50,60,40,40,50,40,70,50,30,10,40,40,30,40,10,50,50,10,40,40,30,70,30,40,10,50,70,30,30,50,30,50,60,30,30,10,20,30,10,30,40,30,60,30,40,10,50,30,70,40,40,70,70,70,30,40,50,80,70,50,40,50,70,30,40,70,70,70,60,50,70,70,30,30,40,60,50,30,30,40,80,50,30,10,40,40,40,40,80,40,1,1,1,0,1,1,0,0,0,0,0,0,3,4,3,2,2,60,40,50,50,50,50,60,30,60,50,50,40,30,40,30,40,40,30,50,40,60,50,30,30,60,30,70,40,50,sch2
123,2,Gp108,0,16,0,172,68,11,0,2,1,Business man,Trader,1,4,80,100,NA,90,NA,50,70,NA,100,NA,50,90,NA,80,NA,40,80,NA,80,NA,30,80,NA,90,NA,70,90,NA,90,NA,100,100,NA,100,NA,100,90,NA,100,NA,40,90,NA,50,NA,90,80,NA,50,NA,80,70,NA,90,NA,70,70,80,NA,100,NA,20,90,NA,100,NA,70,100,NA,100,NA,40,70,NA,80,NA,70,90,NA,90,NA,30,80,NA,90,NA,90,70,NA,100,NA,50,80,NA,50,NA,60,90,NA,60,NA,60,80,NA,80,NA,30,80,80,NA,90,NA,70,90,NA,90,NA,100,90,NA,90,NA,90,70,NA,90,NA,50,50,50,NA,70,NA,40,80,NA,80,NA,60,80,NA,70,NA,40,70,NA,90,NA,50,90,NA,90,NA,70,80,NA,80,NA,40,80,NA,70,NA,100,80,NA,70,NA,70,80,NA,90,NA,40,50,NA,90,NA,100,80,NA,100,NA,80,100,NA,90,NA,0,1,1,1,0,0,0,1,1,1,1,1,4,4,NA,1,NA,100,100,100,90,80,90,80,80,70,90,90,90,80,90,80,90,90,100,80,80,80,90,90,100,90,90,90,90,100,sch2
124,2,Gp109,0,20,0,174,67,29,0,4,7,Businessman,Teacher,1,3,20,90,60,70,90,80,70,40,50,50,70,70,60,60,70,60,60,60,60,50,40,60,60,50,50,50,70,70,70,60,70,70,60,50,70,100,70,100,50,70,80,100,60,50,60,80,70,60,80,80,90,70,80,70,70,70,70,70,50,70,70,30,80,60,70,60,90,70,60,60,70,60,70,70,70,70,50,50,50,50,50,70,60,50,70,60,70,80,50,80,60,90,70,70,70,70,60,90,60,80,60,70,70,50,70,70,30,10,40,40,50,40,50,50,20,40,40,60,50,40,40,40,50,50,40,40,50,50,40,50,40,40,70,80,40,40,30,70,40,70,50,60,70,100,60,50,70,60,100,70,100,80,70,100,60,90,100,80,80,70,60,70,70,50,80,100,80,80,70,80,50,70,70,50,50,50,80,70,60,60,50,100,80,60,20,50,80,70,1,1,1,1,1,1,0,0,0,0,1,0,6,6,2,2,1,60,50,60,60,60,50,60,70,50,40,50,50,50,50,50,50,50,50,70,70,70,60,50,50,50,60,50,50,60,sch2
